股票代码,股票名称,日期,总分,蓄势分,平衡分,动量分,买点类型,蓄势等级,动量等级,ratio_d20,ratio_d1,volume_ratio,fz_ratio,instant_deviation,rising_days,falling_days
002557,洽洽食品,2026-03-03,75.0,75.0,40.0,30.0,左侧,A,,0.005709266578831753,0.00574204946996462,0.7513885711993906,1.8571428571428572,-0.5519999999999996,7,13
601868,中国能建,2026-03-03,70.0,0.0,0.0,70.0,,,,0.015873015873015886,0.01612903225806453,1.4564287027483085,1.125,0.0714999999999999,8,9
000905,厦门港务,2026-03-03,60.0,0.0,0.0,60.0,右侧,,,0.037708484408991993,0.03918613413715144,2.8372647029279414,0.6666666666666666,1.0874999999999986,12,8
000983,山西焦煤,2026-03-03,60.0,0.0,0.0,60.0,右侧,,,0.1018518518518518,0.11340206185567003,2.0540910133000954,0.6666666666666666,0.4560000000000004,12,8
600525,ST长园,2026-03-03,60.0,0.0,0.0,60.0,右侧,,,0.07428571428571422,0.08024691358024684,3.0539255350066856,1.0,0.5069999999999997,10,10
920263,中航泰达,2026-03-03,60.0,0.0,0.0,60.0,右侧,,,0.04568165596002859,0.047868362004487706,3.7080848701057407,1.0,0.8305000000000007,10,10
002155,湖南黄金,2026-03-03,50.0,0.0,0.0,50.0,右侧,,,0.3166175024582104,0.46330935251798555,1.8124170051428434,0.8181818181818182,5.966000000000001,11,9
300139,晓程科技,2026-03-03,50.0,0.0,0.0,50.0,右侧,,,0.28221083455344065,0.3931667516573176,1.6019777562446504,0.5384615384615384,16.92049999999999,13,7
300058,蓝色光标,2026-03-03,35.0,35.0,0.0,-10.0,,,,-0.3544844417327638,-0.26171171171171165,0.6645472831558804,2.3333333333333335,-3.3865000000000016,6,14
600838,上海九百,2026-03-03,35.0,35.0,0.0,-10.0,,,,-0.2719465648854961,-0.21380345086271565,0.6182786317144014,2.1666666666666665,-1.2829999999999995,6,13
603667,五洲新春,2026-03-03,35.0,35.0,0.0,-10.0,,,,-0.15024458420684836,-0.13061968408262456,0.7111180816409675,1.5,-10.224000000000004,8,12
000533,顺钠股份,2026-03-03,30.0,0.0,0.0,30.0,,,,0.18515205724508052,0.2272228320526894,1.0199633565317714,1.2222222222222223,0.4734999999999996,9,11
000709,河钢股份,2026-03-03,30.0,0.0,0.0,30.0,,,,0.03831417624521077,0.039840637450199244,1.0802516053122602,0.8181818181818182,0.08699999999999974,11,9
002271,东方雨虹,2026-03-03,30.0,0.0,0.0,30.0,,,,0.05337078651685389,0.05637982195845693,1.1483878581283857,1.2222222222222223,0.09950000000000259,9,11
002364,中恒电气,2026-03-03,30.0,0.0,0.0,30.0,,,,0.02306014334683708,0.02360446570972893,1.277372683820007,0.7272727272727273,-0.6460000000000008,11,8
300750,宁德时代,2026-03-03,30.0,20.0,20.0,30.0,,,,0.013572819484407288,0.013759575721862158,1.2548798881287964,1.2222222222222223,-11.164000000000044,9,11
301275,汉朔科技,2026-03-03,30.0,30.0,0.0,-10.0,,,,-0.2077669902912622,-0.17202572347266884,1.020798342854998,2.8,-6.438499999999998,5,14
600966,博汇纸业,2026-03-03,30.0,0.0,0.0,30.0,,,,0.11515151515151517,0.13013698630136988,1.0142498943531797,0.5384615384615384,0.41499999999999915,13,7
601231,环旭电子,2026-03-03,30.0,0.0,0.0,30.0,,,,0.2569986232216612,0.34589252625077194,0.982931500007356,0.8181818181818182,5.0625,11,9
601636,旗滨集团,2026-03-03,30.0,0.0,0.0,30.0,,,,0.028011204481792618,0.028818443804034477,0.8876092947553313,0.5833333333333334,-0.10850000000000026,12,7
688291,金橙子,2026-03-03,30.0,20.0,0.0,30.0,,,,-0.06632016632016627,-0.062195359719243476,1.078178915967193,1.5,0.23450000000000415,8,12
000651,格力电器,2026-03-03,20.0,20.0,0.0,-10.0,,,,-0.04906983014289547,-0.04677460806990474,1.1306881251299516,1.8571428571428572,-1.2734999999999985,7,13
002050,三花智控,2026-03-03,20.0,20.0,0.0,-10.0,,,,-0.12215543151567207,-0.10885785345322373,1.127367710115344,1.5,-4.811499999999995,8,12
002230,科大讯飞,2026-03-03,20.0,20.0,0.0,-10.0,,,,-0.11505273250239693,-0.10318142734307825,0.8875306683499339,1.8571428571428572,-4.579999999999998,7,13
